Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Catholic Healthcare St Joseph Aged Care,41 Gladesville Road,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,52,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,Hunters Hill,14100,PHN102,Northern Sydney,-33.833975,151.142016
Catholic Healthcare St Bedes Home,2 Russell Lane,SOUTH HURSTVILLE,NSW,2221,South East Sydney,Residential,44,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11374,South Hurstville - Blakehurst,11903,Hurstville,Georges River,12930,PHN101,Central and Eastern Sydney,-33.9753339999999,151.111082
McLean Care Ltd,67 Killean Street,INVERELL,NSW,2360,New England,Residential,125,0,0,McLean Care Ltd,Charitable,Outer Regional Australia,4,11191,Inverell,11002,Inverell - Tenterfield,Inverell,14220,PHN108,Hunter New England and Central Coast,-29.760435,151.135432
Vincent Court,88 LEITH Street,WEST KEMPSEY,NSW,2440,Mid North Coast,Residential,88,0,0,Apollo Care Operations Pty Ltd,Private Incorporated Body,Inner Regional Australia,4,11155,Kempsey,10802,Kempsey - Nambucca,Kempsey,14350,PHN109,North Coast,-31.061063,152.825682999999
Blue Haven Bonaira,14 Bonaira Street,KIAMA,NSW,2533,Illawarra,Residential,134,0,0,Fresh Fields Management (NSW) No 2 Pty Ltd,Private Incorporated Body,Major Cities of Australia,2,11138,Kiama,10703,Kiama - Shellharbour,Kiama,14400,PHN106,South Eastern NSW,-34.682516,150.850041
Catholic Healthcare Bethlehem House,30 Montgomery Street,KOGARAH,NSW,2217,South East Sydney,Residential,29,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11378,Kogarah,11904,Kogarah - Rockdale,Georges River,12930,PHN101,Central and Eastern Sydney,-33.9639209999999,151.1346
Whiddon Kyogle,1 GEORGE Street,KYOGLE,NSW,2474,Far North Coast,Residential,70,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,5,11247,Kyogle,11202,Richmond Valley - Hinterland,Kyogle,14550,PHN109,North Coast,-28.625755,153.001548
St Basil's Lakemba,300 Haldon Street,LAKEMBA,NSW,2195,Inner West,Residential,195,0,0,St Basil's Homes,Charitable,Major Cities of Australia,1,11573,Lakemba,11902,Canterbury,Canterbury-Bankstown,11570,PHN101,Central and Eastern Sydney,-33.926616,151.080839999999
Uniting Kamilaroi Lane Cove,155 Longueville Road,LANE COVE,NSW,2066,Northern Sydney,Residential,74,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11400,Lane Cove - Greenwich,12101,Chatswood - Lane Cove,Lane Cove,14700,PHN102,Northern Sydney,-33.817011,151.169772999999
Uniting Annesley Haberfield,1 Haberfield Road,HABERFIELD,NSW,2045,Inner West,Residential,88,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,Inner West,14170,PHN101,Central and Eastern Sydney,-33.886473,151.141152
Uniting The Marion Leichhardt,237 Marion Street,LEICHHARDT,NSW,2040,Inner West,Residential,134,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11388,Leichhardt - Annandale,12002,Leichhardt,Inner West,14170,PHN101,Central and Eastern Sydney,-33.883619,151.146136
Autumn Lodge Hostel,1-3 Short Street,MACKSVILLE,NSW,2447,Mid North Coast,Residential,95,0,0,NVC Group Limited,Community Based,Inner Regional Australia,4,11157,Macksville - Scotts Head,10802,Kempsey - Nambucca,Nambucca Valley,15700,PHN109,North Coast,-30.712147,152.919976999999
Whiddon Maclean,27 Union Street,MACLEAN,NSW,2463,Far North Coast,Residential,61,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,5,11082,Maclean - Yamba - Iluka,10401,Clarence Valley,Clarence Valley,11730,PHN109,North Coast,-29.4543539999999,153.203429999999
RFBI Benhome Masonic Village,30 Regent Street,MAITLAND,NSW,2320,Hunter,Residential,124,0,0,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,1,11114,Maitland,10602,Maitland,Maitland,15050,PHN108,Hunter New England and Central Coast,-32.730085,151.54549
Brother Alberts Home,116-132 Quakers Road,MARAYONG,NSW,2148,Western Sydney,Residential,146,0,0,Holy Family Services,Charitable,Major Cities of Australia,1,11304,Blacktown (North) - Marayong,11601,Blacktown,Blacktown,10750,PHN103,Western Sydney,-33.7425879999999,150.886446
Catholic Healthcare St James Villa,60 Lawson Street,MATRAVILLE,NSW,2036,South East Sydney,Residential,40,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11350,Malabar - La Perouse - Chifley,11802,Eastern Suburbs - South,Randwick,16550,PHN101,Central and Eastern Sydney,-33.962974,151.244366
Uniting Irwin Hall Mayfield,13-15 Section Street,MAYFIELD,NSW,2304,Hunter,Residential,38,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11227,Mayfield - Warabrook,11103,Newcastle,Newcastle,15900,PHN108,Hunter New England and Central Coast,-32.895991,151.740498
Albert Moore Gardens,10 Short Street,MERIMBULA,NSW,2548,Southern Highlands,Residential,68,0,0,RSL LifeCare Limited,Community Based,Outer Regional Australia,4,11025,Merimbula - Tura Beach,10104,South Coast,Bega Valley,10550,PHN106,South Eastern NSW,-36.892077,149.908476
Southern Cross Care John Woodward Residential Aged Care,45 Barcom Street,MERRYLANDS,NSW,2160,Western Sydney,Residential,118,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,11484,Guildford West - Merrylands West,12503,Merrylands - Guildford,Cumberland,12380,PHN103,Western Sydney,-33.839567,150.970854
Juliana Village,58 Miranda Road,MIRANDA,NSW,2228,South East Sydney,Residential,73,0,0,Juliana Village Association Ltd,Community Based,Major Cities of Australia,1,11530,Miranda - Yowie Bay,12801,Cronulla - Miranda - Caringbah,Sutherland,17150,PHN101,Central and Eastern Sydney,-34.0367299999999,151.108025999999
Catholic Healthcare George Mockler Hostel,99 Elimatta Road,MONA VALE,NSW,2103,Northern Sydney,Residential,28,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11423,Warriewood - Mona Vale,12202,Pittwater,Northern Beaches,15990,PHN102,Northern Sydney,-33.679983,151.296913999999
Calvary Muswellbrook Retirement Community,15 Cassidy Avenue,MUSWELLBROOK,NSW,2333,Hunter,Residential,65,0,0,Calvary Aged Care Limited,Charitable,Inner Regional Australia,4,11126,Muswellbrook,10604,Upper Hunter,Muswellbrook,15650,PHN108,Hunter New England and Central Coast,-32.280918,150.891999999999
Uniting Osborne Nowra,54-60 Osborne Street,NOWRA,NSW,2541,Illawarra,Residential,136,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,3,11278,Nowra,11401,Shoalhaven,Shoalhaven,16950,PHN106,South Eastern NSW,-34.875061,150.599270999999
Ascott Gardens,68 Nile Street,ORANGE,NSW,2800,Central West,Residential,78,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,3,11077,Orange,10304,Orange,Orange,16150,PHN107,Western NSW,-33.2803419999999,149.113234
Uniting Wontama Orange,30-38 Byng Street,ORANGE,NSW,2800,Central West,Residential,148,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,3,11077,Orange,10304,Orange,Orange,16150,PHN107,Western NSW,-33.2808229999999,149.090278
Melrose Cottage Settlement,157 Bungaree Road,PENDLE HILL,NSW,2145,Western Sydney,Residential,80,0,0,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,1,11493,Toongabbie - Constitution Hill,12504,Parramatta,Parramatta,16260,PHN103,Western Sydney,-33.799897,150.959621999999
Cherrybrook Christian Care Centre,3-5 Kitchener Road,CHERRYBROOK,NSW,2126,Northern Sydney,Residential,120,0,0,Christian Community Services,Charitable,Major Cities of Australia,1,11558,Cherrybrook,11501,Baulkham Hills,Hornsby,14000,PHN102,Northern Sydney,-33.73098,151.055960999999
Uniting Locke Haven Petersham,60 New Canterbury Road,PETERSHAM,NSW,2049,Inner West,Residential,48,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11327,Petersham - Stanmore,11702,Marrickville - Sydenham - Petersham,Inner West,14170,PHN101,Central and Eastern Sydney,-33.8964509999999,151.154852
Aubrey Downer Aged Care Home,23 Sunnyside Avenue,POINT CLARE,NSW,2250,Central Coast,Residential,23,0,0,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11037,Point Clare - Koolewong,10201,Gosford,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.4393189999999,151.315134999999
BaptistCare George Forbes House,16 ERIN Street,QUEANBEYAN,NSW,2620,Southern Highlands,Residential,85,0,0,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,1,11009,Queanbeyan,10102,Queanbeyan,Queanbeyan-Palerang,16490,PHN106,South Eastern NSW,-35.3459939999999,149.233065
Catholic Healthcare Holy Spirit Aged Care,13 Neptune Street,REVESBY,NSW,2212,South West Sydney,Residential,50,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11360,Revesby,11901,Bankstown,Canterbury-Bankstown,11570,PHN105,South Western Sydney,-33.963993,151.020205
Yallambee Village,34 Hydrae Street,REVESBY,NSW,2212,South West Sydney,Residential,143,0,0,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,1,11360,Revesby,11901,Bankstown,Canterbury-Bankstown,11570,PHN105,South Western Sydney,-33.9587679999999,151.019744
Uniting Bruce Sharpe Rockdale,110 Frederick Street,ROCKDALE,NSW,2216,South East Sydney,Residential,52,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11381,Rockdale - Banksia,11904,Kogarah - Rockdale,Bayside (NSW),10500,PHN101,Central and Eastern Sydney,-33.951458,151.13264
Our Lady Of Consolation Home,32 Evans Road,ROOTY HILL,NSW,2766,Western Sydney,Residential,172,0,0,Our Lady of Consolation Aged Care & Services Limited,Religious,Major Cities of Australia,1,11319,Rooty Hill - Minchinbury,11603,Mount Druitt,Blacktown,10750,PHN103,Western Sydney,-33.782769,150.846673
KOPWA Archbold House,16 Trafalgar Avenue,ROSEVILLE,NSW,2069,Northern Sydney,Residential,102,0,0,KOPWA Limited,Community Based,Major Cities of Australia,1,11408,Lindfield - Roseville,12103,Ku-ring-gai,Ku-ring-gai,14500,PHN102,Northern Sydney,-33.780718,151.176693999999
Uniting Thomas Bowden Ryde,279 Morrison Road,RYDE,NSW,2112,Northern Sydney,Residential,47,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11591,Ryde,12602,Ryde - Hunters Hill,Ryde,16700,PHN102,Northern Sydney,-33.819273,151.104045
Uniting Elizabeth Gates and Alroy House Singleton,128 Blaxland Avenue,SINGLETON HEIGHTS,NSW,2330,Hunter,Residential,84,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,4,11112,Singleton,10601,Lower Hunter,Singleton,17000,PHN108,Hunter New England and Central Coast,-32.5479729999999,151.167545999999
Calvary Cooinda Retirement Community,42 Bathurst Street,SINGLETON,NSW,2330,Hunter,Residential,34,0,0,Calvary Aged Care Limited,Charitable,Inner Regional Australia,4,11112,Singleton,10601,Lower Hunter,Singleton,17000,PHN108,Hunter New England and Central Coast,-32.570208,151.169123
Uniting Springwood,2 Lewin Street,SPRINGWOOD,NSW,2777,Nepean,Residential,136,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11454,Springwood - Winmalee,12401,Blue Mountains,Blue Mountains,10900,PHN104,Nepean Blue Mountains,-33.6964279999999,150.553857999999
Frank And Jess Kennett Home,1 A Railway Crescent,STANWELL PARK,NSW,2508,Illawarra,Residential,44,0,0,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,1,11147,Helensburgh,10704,Wollongong,Wollongong,18450,PHN106,South Eastern NSW,-34.2261809999999,150.982721999999
IRT Thomas Holt Kirrawee,"1-25 Acacia Road, North",KIRRAWEE,NSW,2232,South East Sydney,Residential,253,0,0,Illawarra Retirement Trust,Community Based,Major Cities of Australia,1,11538,Sutherland - Kirrawee,12802,Sutherland - Menai - Heathcote,Sutherland,17150,PHN101,Central and Eastern Sydney,-34.0214179999999,151.067878
James Milson Village North Sydney,4 Clark Road,NORTH SYDNEY,NSW,2060,Northern Sydney,Residential,109,0,0,North Sydney Retirement Trust,Community Based,Major Cities of Australia,1,11416,Neutral Bay - Kirribilli,12104,North Sydney - Mosman,North Sydney,15950,PHN102,Northern Sydney,-33.840372,151.21463
Catholic Healthcare Vincentian Aged Care Service,48 Yurong Street,DARLINGHURST,NSW,2010,South East Sydney,Residential,30,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11329,Darlinghurst,11703,Sydney Inner City,Sydney,17200,PHN101,Central and Eastern Sydney,-33.875573,151.214163
Nazareth House Tamworth,80-104 Manilla Road,OXLEY VALE,NSW,2340,New England,Residential,90,0,0,Nazareth Care,Religious,Inner Regional Australia,3,11203,Tamworth - North,11004,Tamworth - Gunnedah,Tamworth,17310,PHN108,Hunter New England and Central Coast,-31.063396,150.903539999999
RFBI Tamworth Masonic Village,16 Kitchener Street,TAMWORTH,NSW,2340,New England,Residential,62,0,0,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,3,11203,Tamworth - North,11004,Tamworth - Gunnedah,Tamworth,17310,PHN108,Hunter New England and Central Coast,-31.098067,150.941567999999
Uniting Taralga,49-53 Bunnaby Street,TARALGA,NSW,2580,Southern Highlands,Residential,23,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,5,11540,Goulburn Region,10105,Goulburn - Mulwaree,Upper Lachlan,17640,PHN106,South Eastern NSW,-34.4058259999999,149.821144
Alkira Lodge,2 A Bushland Drive,TAREE,NSW,2430,Mid North Coast,Residential,91,0,0,Bushland Health Group Limited,Community Based,Inner Regional Australia,3,11169,Taree,10805,Taree - Gloucester,Mid-Coast,15240,PHN108,Hunter New England and Central Coast,-31.895389,152.484865
Whiddon Temora Greenstone,37 Gloucester Street,TEMORA,NSW,2666,Riverina/Murray,Residential,36,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,5,11266,Temora,11303,Wagga Wagga,Temora,17350,PHN110,Murrumbidgee,-34.4406359999999,147.538736999999
Agris Hutrof House,25 Estonian Road,THIRLMERE,NSW,2572,South West Sydney,Residential,65,0,0,RSL LifeCare Limited,Community Based,Inner Regional Australia,5,11447,Picton - Tahmoor - Buxton,12303,Wollondilly,Wollondilly,18400,PHN105,South Western Sydney,-34.2020679999999,150.552974
Constitution Hill Aged Care,3 Centenary Avenue,NORTHMEAD,NSW,2152,Western Sydney,Residential,111,0,0,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11493,Toongabbie - Constitution Hill,12504,Parramatta,Parramatta,16260,PHN103,Western Sydney,-33.788811,150.97873
Catholic Healthcare Blakeney Lodge,27-29 Carey Street,TUMUT,NSW,2720,Riverina/Murray,Residential,30,0,0,Catholic Healthcare Limited,Charitable,Inner Regional Australia,4,11261,Tumut,11302,Tumut - Tumbarumba,Snowy Valleys,17080,PHN110,Murrumbidgee,-35.2980629999999,148.219001999999
Southern Cross Care North Turramurra Residential Aged Care,402 Bobbin Head Road,NORTH TURRAMURRA,NSW,2074,Northern Sydney,Residential,113,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,11411,Turramurra,12103,Ku-ring-gai,Ku-ring-gai,14500,PHN102,Northern Sydney,-33.700837,151.146972
Elizabeth Lodge Hostel,79 Mount Pleasant Avenue,NORMANHURST,NSW,2076,Northern Sydney,Residential,94,0,0,Seventh-day Adventist Aged Care (Greater Sydney) Ltd,Private Incorporated Body,Major Cities of Australia,1,11406,Normanhurst - Thornleigh - Westleigh,12102,Hornsby,Hornsby,14000,PHN102,Northern Sydney,-33.727057,151.099022999999
Catholic Healthcare McQuoin Park,35 Pacific Highway,WAHROONGA,NSW,2076,Northern Sydney,Residential,122,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11579,Waitara - Wahroonga (West),12102,Hornsby,Hornsby,14000,PHN102,Northern Sydney,-33.713633,151.107156
Warrigal Care Mt Warrigal,5 Rowland Avenue,MOUNT WARRIGAL,NSW,2528,Illawarra,Residential,40,0,0,Warrigal Care Limited,Charitable,Major Cities of Australia,1,11143,Warilla,10703,Kiama - Shellharbour,Shellharbour,16900,PHN106,South Eastern NSW,-34.547685,150.844083
Whiddon Wingham,12 Primrose Street,WINGHAM,NSW,2429,Mid North Coast,Residential,82,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,3,11171,Wingham,10805,Taree - Gloucester,Mid-Coast,15240,PHN108,Hunter New England and Central Coast,-31.869201,152.370714999999
Anglicare Woodberry Village,129 Lanhams Road,WINSTON HILLS,NSW,2153,Western Sydney,Residential,122,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11494,Winston Hills,12504,Parramatta,Parramatta,16260,PHN103,Western Sydney,-33.7769369999999,150.975995
BaptistCare Bethshan Gardens Centre,30 Forest Road,WYEE,NSW,2259,Hunter,Residential,139,0,0,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,1,11218,Morisset - Cooranbong,11102,Lake Macquarie - West,Lake Macquarie,14650,PHN108,Hunter New England and Central Coast,-33.1700439999999,151.472368999999
Thomas Eccles Gardens,26 Mount Street,YASS,NSW,2582,Southern Highlands,Residential,82,0,0,RSL LifeCare Limited,Community Based,Inner Regional Australia,4,11541,Yass,10106,Young - Yass,Yass Valley,18710,PHN106,South Eastern NSW,-34.831119,148.912273999999
Southern Cross Care Young Residential Aged Care,Demondrille Street,YOUNG,NSW,2594,Southern Highlands,Residential,83,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11543,Young,10106,Young - Yass,Hilltops,13910,PHN110,Murrumbidgee,-34.322695,148.29131
Uniting Wirreanda West Pennant Hills,33 Highs Road,WEST PENNANT HILLS,NSW,2125,Western Sydney,Residential,42,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11296,West Pennant Hills,11501,Baulkham Hills,The Hills,17420,PHN103,Western Sydney,-33.7369849999999,151.022555
Christophorus House Hostel,396 Peats Ferry Road,HORNSBY,NSW,2077,Northern Sydney,Residential,24,0,0,Christophorus House Retirement Village,Community Based,Major Cities of Australia,1,11578,Hornsby - West,12102,Hornsby,Hornsby,14000,PHN102,Northern Sydney,-33.6914069999999,151.097351
Catholic Healthcare St Mary's Retirement Village,211 Northcliffe Drive,BERKELEY,NSW,2506,Illawarra,Residential,33,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11545,Berkeley - Lake Heights - Cringila,10701,Dapto - Port Kembla,Wollongong,18450,PHN106,South Eastern NSW,-34.4828979999999,150.843187999999
Catholic Healthcare St John's Villa,222 Kings Road,NEW LAMBTON,NSW,2305,Hunter,Residential,51,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11225,Lambton - New Lambton,11103,Newcastle,Newcastle,15900,PHN108,Hunter New England and Central Coast,-32.935087,151.715275999999
Woodlands Lodge,100 Lake Road,WALLSEND,NSW,2287,Hunter,Residential,72,0,0,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,1,11233,Wallsend - Elermore Vale,11103,Newcastle,Newcastle,15900,PHN108,Hunter New England and Central Coast,-32.9125429999999,151.659998999999
RFBI Lakemba Masonic Village,72 Sproule Street,LAKEMBA,NSW,2195,Inner West,Residential,50,0,0,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,1,11573,Lakemba,11902,Canterbury,Canterbury-Bankstown,11570,PHN101,Central and Eastern Sydney,-33.923912,151.076209
Teloca House Hostel,120 Audley Street,NARRANDERA,NSW,2700,Riverina/Murray,Residential,61,0,0,RSL LifeCare Limited,Community Based,Outer Regional Australia,5,11259,Narrandera,11301,Griffith - Murrumbidgee (West),Narrandera,15800,PHN110,Murrumbidgee,-34.74812,146.549484
Catholic Healthcare Coolamon Villa,1-3 Azalea Street,MULLUMBIMBY,NSW,2482,Far North Coast,Residential,55,0,0,Catholic Healthcare Limited,Charitable,Inner Regional Australia,5,11243,Mullumbimby,11201,Richmond Valley - Coastal,Byron,11350,PHN109,North Coast,-28.5590149999999,153.490927999999
Glaica House,22 Flora Parade,TUNCURRY,NSW,2428,Mid North Coast,Residential,146,0,0,Great Lakes Aged & Invalid Care Association Ltd,Community Based,Inner Regional Australia,3,11154,Tuncurry,10801,Great Lakes,Mid-Coast,15240,PHN108,Hunter New England and Central Coast,-32.1675669999999,152.496705999999
Anglicare Lemongrove Gardens,32 Gascoigne Street,PENRITH,NSW,2750,Nepean,Residential,59,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11464,Penrith,12403,Penrith,Penrith,16350,PHN104,Nepean Blue Mountains,-33.752611,150.710363
Haydays Retirement Hostel,258 Coke Street,HAY,NSW,2711,Riverina/Murray,Residential,24,0,0,Hay Senior Citizens Association Incorporated,Community Based,Outer Regional Australia,5,11177,Hay,10902,Lower Murray,Hay,13850,PHN110,Murrumbidgee,-34.501707,144.85199
Bilyara Hostel,1 HOLMAN Place,COWRA,NSW,2794,Central West,Residential,84,0,0,Cowra Retirement Village Ltd,Charitable,Inner Regional Australia,4,11063,Cowra,10302,Lachlan Valley,Cowra,12350,PHN107,Western NSW,-33.824333,148.694704
Bracken House Dubbo,315 Macquarie Street,DUBBO,NSW,2830,Orana Far West,Residential,74,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,3,11101,Dubbo - South,10503,Dubbo,Dubbo,12390,PHN107,Western NSW,-32.26122,148.600367
Cooee Lodge,Townsend Drive,GILGANDRA,NSW,2827,Orana Far West,Residential,50,0,0,Gilgandra Council,Local Government,Outer Regional Australia,5,11104,Gilgandra,10503,Dubbo,Gilgandra,12950,PHN107,Western NSW,-31.703966,148.663308999999
St Agnes Site,2 Lochinvar Place,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,124,0,0,St Agnes' Care & Lifestyle,Religious,Inner Regional Australia,3,11163,Port Macquarie - East,10804,Port Macquarie,Port Macquarie-Hastings,16380,PHN109,North Coast,-31.456553,152.898377
Whiddon Narrabri Robert Young,Cameron Street,NARRABRI,NSW,2390,New England,Residential,54,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,4,11197,Narrabri,11003,Moree - Narrabri,Narrabri,15750,PHN108,Hunter New England and Central Coast,-30.326903,149.775869999999
Whiddon Belmont,10 Gibson Street,BELMONT,NSW,2280,Hunter,Residential,56,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,1,11206,Belmont - Bennetts Green,11101,Lake Macquarie - East,Lake Macquarie,14650,PHN108,Hunter New England and Central Coast,-33.036189,151.666063
Uralba Retirement Village,5 Eulamore Street,CARCOAR,NSW,2791,Central West,Residential,22,0,0,Burswood Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,5,11076,Blayney,10304,Orange,Blayney,10850,PHN107,Western NSW,-33.6164849999999,149.142606999999
Borella House,333 Borella Road,ALBURY,NSW,2640,Riverina/Murray,Residential,66,0,0,The Churches of Christ Property Trust,Religious,Inner Regional Australia,2,11172,Albury - East,10901,Albury,Albury,10050,PHN205,Murray,-36.0764229999999,146.931132999999
Uniting Hawkesbury Richmond,23-25 Chapel Street,RICHMOND,NSW,2753,Nepean,Residential,134,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11466,Richmond - Clarendon,12404,Richmond - Windsor,Hawkesbury,13800,PHN104,Nepean Blue Mountains,-33.595922,150.744045999999
Maranatha House,127 - 137 Whiteley Street,WELLINGTON,NSW,2820,Orana Far West,Residential,80,0,0,Maranatha House,Community Based,Outer Regional Australia,5,11106,Wellington,10503,Dubbo,Dubbo,12390,PHN107,Western NSW,-32.54889,148.952445
Bolton Clarke Winders Lodge,26 Winders Place,BANORA POINT,NSW,2486,Far North Coast,Residential,40,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,11550,Banora Point,11203,Tweed Valley,Tweed,17550,PHN109,North Coast,-28.213079,153.540814
Anglican Care Storm Village,109 Cowper Street,TAREE,NSW,2430,Mid North Coast,Residential,117,0,0,Anglican Care,Charitable,Inner Regional Australia,3,11169,Taree,10805,Taree - Gloucester,Mid-Coast,15240,PHN108,Hunter New England and Central Coast,-31.897974,152.472323999999
Uniting Banks Lodge Peakhurst,93 Baumans Road,PEAKHURST,NSW,2210,South East Sydney,Residential,114,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11370,Narwee - Beverly Hills,11903,Hurstville,Georges River,12930,PHN101,Central and Eastern Sydney,-33.95629,151.068366999999
Estia Health Norah Head,60 Soldiers Point Drive,NORAH HEAD,NSW,2263,Central Coast,Residential,53,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11054,Toukley - Norah Head,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.2840149999999,151.5685
Anglican Care McIntosh Court,Toronto Road,BOORAGUL,NSW,2284,Hunter,Residential,63,0,0,Anglican Care,Charitable,Major Cities of Australia,1,11215,Bolton Point - Teralba,11102,Lake Macquarie - West,Lake Macquarie,14650,PHN108,Hunter New England and Central Coast,-32.979376,151.604501999999
Stella Maris Aged Care Facility,6 Coast Avenue,CRONULLA,NSW,2230,South East Sydney,Residential,75,0,0,Stella Maris Aged Care Facility,Religious,Major Cities of Australia,1,11604,Cronulla - Kurnell - Bundeena,12801,Cronulla - Miranda - Caringbah,Sutherland,17150,PHN101,Central and Eastern Sydney,-34.061635,151.155517
Whiddon Glenfield Arthur Webb Court,81 Belmont Road,GLENFIELD,NSW,2167,South West Sydney,Residential,48,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,1,11442,Macquarie Fields - Glenfield,12302,Campbelltown (NSW),Campbelltown (NSW),11500,PHN105,South Western Sydney,-33.977024,150.900208999999
Whiddon Glenfield Easton Park,81 Belmont Road,GLENFIELD,NSW,2167,South West Sydney,Residential,177,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,1,11442,Macquarie Fields - Glenfield,12302,Campbelltown (NSW),Campbelltown (NSW),11500,PHN105,South Western Sydney,-33.977024,150.900208999999
Murray Vale Shalem Hostel,342 Wagga Road,LAVINGTON,NSW,2641,Riverina/Murray,Residential,60,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,2,11176,Lavington,10901,Albury,Albury,10050,PHN205,Murray,-36.0499889999999,146.937887999999
Oolong Hostel,91-97 Sturt Street,HOWLONG,NSW,2643,Riverina/Murray,Residential,30,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,5,11181,Corowa Region,10903,Upper Murray exc. Albury,Federation,12870,PHN110,Murrumbidgee,-35.980102,146.624482999999
